date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2016/11/11,-0.320441991,0,0.471396297,0.528603673,-0.160220996,0
2016/11/14,-0.113269816,-1,0.596974552,0.403025389,0.056634908,1
2016/11/15,-0.142952234,-1,0.64592129,0.35407874,0.071476117,1
2016/11/16,-0.246439082,-1,0.547481239,0.452518731,0.123219541,1
2016/11/17,-0.157759843,-1,0.501104593,0.498895466,0.078879922,1
2016/11/18,-0.400584102,0,0.002583677,0.997416258,-0.200292051,0
2016/11/21,-0.510066226,0,0.00233807,0.997661948,-0.255033113,0
2016/11/22,-0.356083462,0,0.000183795,0.999816239,-0.178041731,0
2016/11/23,-0.316518563,-1,0.81806165,0.181938335,0.158259282,1
2016/11/24,-0.523690738,-1,0.871301651,0.128698394,0.261845369,1
2016/11/25,-0.41522551,-1,0.866499543,0.133500487,0.207612755,1
2016/11/28,-0.375754422,-1,0.53565675,0.46434316,0.187877211,1
2016/11/29,-0.395491914,0,0.011830918,0.988169074,-0.197745957,0
2016/11/30,0.039635355,0,0.174858257,0.825141728,0.019817678,1
2016/12/1,-1.702424453,-1,0.869433463,0.130566493,0.851212227,1
2016/12/2,-2.021888514,-1,0.63896203,0.361037999,1.010944257,1
2016/12/5,-2.203614808,-1,0.644862473,0.355137557,1.101807404,1
2016/12/6,-3.370001831,-1,0.660713911,0.339286119,1.685000916,1
2016/12/7,-2.396224731,-1,0.625123203,0.374876767,1.198112366,1
2016/12/8,-3.124389468,-1,0.630521476,0.369478464,1.562194734,1
2016/12/9,-3.185736027,0,0.440144092,0.559855878,-1.592868014,0
2016/12/12,-2.09227313,0,0.201324046,0.798675954,-1.046136565,0
2016/12/13,0.141299983,0,0.330177963,0.669822097,0.070649992,1
2016/12/14,-0.060685751,0,0.009567999,0.990431964,-0.030342876,0
2016/12/15,0.207400737,-1,0.622068942,0.377931118,-0.103700369,0
2016/12/16,1.156258902,-1,0.664020896,0.335979134,-0.578129451,0
2016/12/19,0.465682154,-1,0.82391423,0.176085755,-0.232841077,0
2016/12/20,1.772916461,-1,0.760223448,0.239776567,-0.886458231,0
2016/12/21,1.648319302,-1,0.785668075,0.21433194,-0.824159651,0
2016/12/22,0.544795536,-1,0.790168881,0.209831178,-0.272397768,0
2016/12/23,0.196478564,-1,0.796911836,0.20308812,-0.098239282,0
2016/12/26,0.745896009,-1,0.815565765,0.18443422,-0.372948005,0
2016/12/27,0.494002416,-1,0.777490616,0.222509444,-0.247001208,0
2016/12/28,0.847206278,-1,0.787992477,0.212007493,-0.423603139,0
2016/12/29,0.543917538,-1,0.777044117,0.222955823,-0.271958769,0
2016/12/30,-0.175883862,-1,0.733275294,0.266724646,0.087941931,1
2017/1/3,0.060343962,-1,0.733275294,0.266724646,-0.030171981,0
2017/1/4,0.190983623,-1,0.733275294,0.266724646,-0.095491812,0
2017/1/5,-0.206564801,-1,0.733275294,0.266724646,0.103282401,1
2017/1/6,-0.508420214,-1,0.733275294,0.266724646,0.254210107,1
2017/1/9,-0.337472303,-1,0.733275294,0.266724646,0.168736152,1
2017/1/10,-0.216161954,-1,0.733275294,0.266724646,0.108080977,1
2017/1/11,-0.080393935,-1,0.733275294,0.266724646,0.040196968,1
2017/1/12,0.015087887,-1,0.733275294,0.266724646,-0.007543944,0
2017/1/13,-0.367656731,-1,0.72114718,0.27885288,0.183828366,1
2017/1/16,-0.614456731,-1,0.677380025,0.322620004,0.307228366,1
2017/1/17,-0.065585352,-1,0.617818654,0.382181346,0.032792676,1
2017/1/18,-0.333636949,-1,0.648881018,0.351119012,0.166818475,1
2017/1/19,-0.272823895,-1,0.696537852,0.303462178,0.136411948,1
2017/1/20,-0.251940071,-1,0.696537852,0.303462178,0.125970036,1
2017/1/23,-0.22141716,-1,0.749819994,0.250180036,0.11070858,1
2017/1/24,-0.150981408,-1,0.725848615,0.274151325,0.075490704,1
2017/1/25,0.262030888,-1,0.727434397,0.272565633,-0.131015444,0
2017/1/26,0.634539068,-1,0.696537852,0.303462178,-0.317269534,0
2017/2/3,0.236913184,-1,0.696747601,0.303252369,-0.118456592,0
2017/2/6,0.590687064,-1,0.634546995,0.365452975,-0.295343532,0
2017/2/7,0.896505627,-1,0.634546995,0.365452975,-0.448252814,0
2017/2/8,0.568483483,-1,0.663411617,0.336588353,-0.284241742,0
2017/2/9,0.717820516,-1,0.634546995,0.365452975,-0.358910258,0
2017/2/10,0.64760888,-1,0.634546995,0.365452975,-0.32380444,0
2017/2/13,0.657088613,-1,0.691799819,0.30820024,-0.328544307,0
2017/2/14,0.530717713,-1,0.643224537,0.356775492,-0.265358857,0
